STATECODE,COUNTYCODE,SITENUM,PARAMETERCODE,POC,LATITUDE,LONGITUDE,DATUM,PARAMETERNAME,SAMPLEDURATION,POLLUTANTSTANDARD,METRICUSED,METHODNAME,YEAR,UNITSOFMEASURE,EVENTTYPE,OBSERVATIONCOUNT,OBSERVATIONPERCENT,COMPLETENESSINDICATOR,VALIDDAYCOUNT,REQUIREDDAYCOUNT,EXCEPTIONALDATACOUNT,NULLDATACOUNT,PRIMARYEXCEEDANCECOUNT,SECONDARYEXCEEDANCECOUNT,CERTIFICATIONINDICATOR,NUMOBSBELOWMDL,ARITHMETICMEAN,ARITHMETICSTANDARDDEV,1STMAXVALUE,1STMAXDATETIME,2NDMAXVALUE,2NDMAXDATETIME,3RDMAXVALUE,3RDMAXDATETIME,4THMAXVALUE,4THMAXDATETIME,1STMAXNONOVERLAPPINGVALUE,1STNOMAXDATETIME,2NDMAXNONOVERLAPPINGVALUE,2NDNOMAXDATETIME,99THPERCENTILE,98THPERCENTILE,95THPERCENTILE,90THPERCENTILE,75THPERCENTILE,50THPERCENTILE,10THPERCENTILE,LOCALSITENAME,ADDRESS,STATENAME,COUNTYNAME,CITYNAME,CBSANAME,DATEOFLASTCHANGE
01,055,0003,12112,1,124.01121,-266.05747,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1983,Micrograms/cubic meter (25 C),No Events,26,43,N,26,60,0,0,,,Certification not required,0,0.009192,0.004135,0.0189,1983-08-16 00:00,0.0189,1983-10-03 00:00,0.0138,1983-03-25 00:00,0.0135,1983-05-12 00:00,,,,,0.0189,0.0189,0.0189,0.0138,0.0122,0.006,0.0059,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
01,055,0001,44201,1,123.99982,-266.10748,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1983,Parts per million,No Events,5027,74,N,203,275,0,0,28,28,Certification not required,0,0.050138,0.020706,0.105,1983-08-20 09:00,0.1,1983-08-21 09:00,0.095,1983-08-22 08:00,0.092,1983-08-18 10:00,,,,,0.095,0.091,0.086,0.079,0.066,0.049,0.023,,ATTALLA COMMUNITY CENTER,Alabama,Etowah,Attalla,"Gadsden, AL",2020-05-21
36,061,0069,81102,1,40.751213,-73.990973,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,LO-VOL-DICHOTOMOUS-SA246B-INLT - GRAVIMETRIC,1993,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,5,0,0,Certified,0,39.888889,20.811322,87,1993-03-02 00:00,58,1993-03-20 00:00,39,1993-02-06 00:00,38,1993-02-18 00:00,,,,,87,87,87,87,39,35,20,,"HOME SAVINGS BANK, 34TH ST. & 7TH AVE.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
36,061,0077,81102,1,40.75623,-73.97657,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,LO-VOL-DICHOTOMOUS-SA246B-INLT - GRAVIMETRIC,1993,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,9,0,0,Certified,0,47.673077,17.600937,96,1993-04-07 00:00,86,1993-06-18 00:00,83,1993-05-25 00:00,79,1993-03-02 00:00,,,,,96,86,83,72,57,44,29,MADISON AVE,"400 MADISON AVE., STREET CANYON, 47TH-48TH STS.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
06,061,0010,82306,1,130.73955,-253.98569,WGS84,Nitrate PM10 STP,24 HOUR,,Observed Values,HI-VOL-SA/GMW-321-B - REDUCTION-DIAZO COUPLING,1993,Micrograms/cubic meter (25 C),No Events,40,66,N,40,61,0,6,,,Certification not required,0,0.7775,0.982276,4.7,1993-11-09 00:00,4,1993-10-16 00:00,2.5,1993-04-25 00:00,1.7,1993-11-03 00:00,,,,,4.7,4.7,4,1.7,0.8,0.4,0.2,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
06,061,0069,81103,1,130.75121,-253.99097,WGS84,PM10-2.5 STP,24 HOUR,,Observed Values,LO-VOL-DICHOTOMOUS-SA246B-INLT - GRAVIMETRIC,1993,Micrograms/cubic meter (25 C),No Events,9,64,N,9,14,0,5,,,Certification not required,0,12.888889,5.510092,25,1993-03-02 00:00,16,1993-02-06 00:00,15,1993-03-14 00:00,14,1993-02-12 00:00,,,,,25,25,25,25,15,11,7,,"HOME SAVINGS BANK, 34TH ST. & 7TH AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
06,061,0069,81104,1,130.75121,-253.99097,WGS84,PM2.5 STP,24 HOUR,,Observed Values,LO-VOL-DICHOTOMOUS-SA246B-INLT - GRAVIMETRIC,1993,Micrograms/cubic meter (25 C),No Events,9,64,N,9,14,0,5,,,Certification not required,0,27,17.691806,62,1993-03-02 00:00,50,1993-03-20 00:00,27,1993-02-18 00:00,24,1993-01-13 00:00,,,,,62,62,62,62,27,23,10,,"HOME SAVINGS BANK, 34TH ST. & 7TH AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
06,061,0010,44201,1,130.73955,-253.98569,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1993,Parts per million,No Events,2510,33,N,71,214,0,0,0,0,Certified,0,0.02593,0.009397,0.062,1993-05-09 11:00,0.042,1993-05-02 10:00,0.042,1993-06-17 13:00,0.041,1993-05-16 10:00,,,,,0.062,0.042,0.041,0.038,0.032,0.025,0.017,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
01,055,0003,12110,1,124.01121,-266.05747,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1983,Micrograms/cubic meter (25 C),No Events,26,43,N,26,60,0,0,,,Certification not required,0,0.001465,0.000906,0.0043,1983-12-02 00:00,0.0039,1983-02-17 00:00,0.0023,1983-12-08 00:00,0.002,1983-04-06 00:00,,,,,0.0043,0.0043,0.0039,0.0023,0.0017,0.0014,0.0008,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
36,061,0010,42401,2,40.739546,-73.985694,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1993,Parts per billion,No Events,1287,44,N,165,365,0,0,,0,Certified,0,19.087646,13.041773,108.6,1993-03-02 08:00,98.6,1993-04-08 08:00,96,1993-03-02 05:00,69.6,1993-03-02 23:00,,,,,58.6,55,45.6,37,25,16.6,6,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-10
17,031,0042,44201,2,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,4719,86,Y,184,214,0,0,6,6,Certification not required,0,0.041109,0.015,0.089,1997-06-29 10:00,0.089,1997-07-01 12:00,0.083,1997-07-12 10:00,0.082,1997-07-26 11:00,,,,,0.089,0.082,0.068,0.062,0.05,0.04,0.026,SEARS TOWER,WACKER AT ADAMS,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
17,031,0042,44201,2,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1997,Parts per million,Events Included,3344,86,Y,185,214,0,0,7,7,Certification not required,0,0.040795,0.015378,0.089,1997-06-29 10:00,0.089,1997-07-01 12:00,0.083,1997-07-12 10:00,0.082,1997-07-26 11:00,,,,,0.089,0.082,0.068,0.063,0.05,0.039,0.025,SEARS TOWER,WACKER AT ADAMS,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
17,031,0072,44201,1,,,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1997,Parts per million,Events Included,5145,99,Y,211,214,5145,0,0,0,Certified,0,0.050175,0.018171,0.119,1997-08-02 14:00,0.106,1997-06-29 14:00,0.104,1997-07-01 16:00,0.103,1997-07-12 13:00,,,,,0.104,0.1,0.082,0.073,0.06,0.047,0.03,JARDINE WATER PLANT,1000 E. OHIO,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
23,901,0001,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,3967,91,Y,166,183,0,0,15,15,Certification not required,0,0.051922,0.015618,0.115,1997-06-30 17:00,0.102,1997-07-01 11:00,0.096,1997-08-10 15:00,0.095,1997-06-21 13:00,,,,,0.102,0.095,0.08,0.072,0.06,0.049,0.035,MS SCOTIA PRINCE FERRY FROM PORTLAND ME TO YARMOUTH NOVA SCOTIA &RET,MS SCOTIA PRINCE COMMERCIAL ST PORTLAND,Maine,MOBILE MONITORS,,,2021-03-20
26,161,9991,44201,9,,,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,8592,95,Y,174,183,0,0,2,2,Certification not required,0,0.04723,0.01479,0.086,1997-06-29 10:00,0.085,1997-06-28 11:00,0.084,1997-07-13 10:00,0.079,1997-06-11 11:00,,,,,0.085,0.079,0.073,0.066,0.059,0.049,0.035,Ann Arbor,"10070 Strawberry Lake Rd, Dexter, MI 48130",Michigan,Washtenaw,,"Ann Arbor, MI",2021-03-20
26,161,9991,44201,9,,,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1997,Parts per million,Events Included,6086,95,Y,174,183,0,0,12,12,Certification not required,0,0.047075,0.014968,0.086,1997-06-29 10:00,0.085,1997-06-28 11:00,0.084,1997-07-13 10:00,0.079,1997-06-11 11:00,,,,,0.085,0.079,0.073,0.066,0.059,0.049,0.035,Ann Arbor,"10070 Strawberry Lake Rd, Dexter, MI 48130",Michigan,Washtenaw,,"Ann Arbor, MI",2021-03-20
24,019,9991,44201,9,,,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1997,Parts per million,Events Included,6164,99,Y,212,214,0,0,60,60,Certification not required,0,0.05884,0.019543,0.11,1997-07-14 10:00,0.109,1997-06-25 11:00,0.104,1997-07-15 12:00,0.099,1997-07-28 11:00,,,,,0.104,0.098,0.093,0.086,0.073,0.057,0.042,Blackwater NWR,"Blackwater National Wildlife Refuge, Cambridge, MD 21613",Maryland,Dorchester,,"Cambridge, MD",2021-03-20
01,043,0003,44201,1,124.19482,-266.85639,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1983,Parts per million,No Events,5070,70,N,193,275,0,0,0,0,Certification not required,0,0.058337,0.022757,0.11,1983-08-17 16:00,0.108,1983-08-21 13:00,0.105,1983-07-11 10:00,0.103,1983-07-10 14:00,,,,,0.108,0.103,0.1,0.09,0.073,0.06,0.033,LDP PARAMETERS ESTIMATED,"CULLMAN FAIRGROUNDS, CULLMAN COUNTY",Alabama,Cullman,Cullman,"Cullman, AL",2020-05-21
01,033,0036,11101,1,124.71676,-267.88170,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,51,85,Y,51,60,0,0,,,Certification not required,0,54.058824,22.555187,109,1983-08-10 00:00,105,1983-12-20 00:00,103,1983-07-17 00:00,100,1983-04-30 00:00,,,,,109,105,103,84,66,51,30,,TVA COLBERT 9    2.6 MI SW COLBERT FOSSI,Alabama,Colbert,Not in a city,"Florence-Muscle Shoals, AL",2020-05-21
01,055,0003,11101,1,124.01121,-266.05747,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,119,100,Y,60,60,0,0,,,Certification not required,0,62.94958,27.383296,143,1983-08-22 00:00,135,1983-07-29 00:00,133,1983-10-03 00:00,129,1983-11-02 00:00,,,,,135,133,118,102,78,57,31,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
01,055,0003,12136,1,124.01121,-266.05747,WGS84,Nickel (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1983,Micrograms/cubic meter (25 C),No Events,26,43,N,26,60,0,0,,,Certification not required,0,0.004558,0.000639,0.0068,1983-12-02 00:00,0.0052,1983-04-06 00:00,0.0052,1983-11-08 00:00,0.0047,1983-05-24 00:00,,,,,0.0068,0.0068,0.0052,0.0052,0.0047,0.0047,0.0037,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
01,055,0003,17242,1,124.01121,-266.05747,WGS84,Benzo[a]pyrene (TSP) STP,24 HOUR,,Observed Values,HI-VOL - THIN LAYER CHROMATOGRAPHY,1983,Nanograms/cubic meter (25 C),No Events,25,42,N,25,60,0,0,,,Certification not required,0,0.5796,0.602159,1.97,1983-03-25 00:00,1.87,1983-11-08 00:00,1.64,1983-04-18 00:00,1.34,1983-10-27 00:00,,,,,1.97,1.97,1.87,1.64,0.86,0.55,0,,WALNUT PARK FIRE STATION,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
36,061,0056,42401,1,40.75912,-73.96661,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1993,Parts per billion,No Events,338,93,Y,338,365,0,0,0,,Certified,0,17.847041,9.84242,53.1,1993-03-02 00:00,52.1,1993-01-11 00:00,49,1993-02-20 00:00,45.9,1993-02-22 00:00,,,,,45.9,44.1,38,31.7,23.9,15.4,7.1,PS 59,"PS 59, 228 E. 57TH STREET, MANHATTAN",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-10
36,061,0056,42602,1,40.75912,-73.96661,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1993,Parts per billion,No Events,7639,87,Y,322,365,0,1025,,,Certified,0,43.365624,14.038625,125,1993-08-27 09:00,119,1993-07-07 15:00,117,1993-05-28 17:00,116,1993-04-30 15:00,,,,,89,82,71,62,50,41,28,PS 59,"PS 59, 228 E. 57TH STREET, MANHATTAN",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-10
36,061,0062,42101,1,40.720622,-74.003674,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1993,Parts per million,No Events,8275,94,Y,350,365,0,485,0,0,Certified,0,2.565958,1.205593,9.8,1993-01-24 16:00,9.5,1993-03-20 18:00,8.9,1993-04-21 22:00,8.6,1993-03-19 17:00,,,,,6.1,5.6,4.7,4.2,3.3,2.4,1.1,CANAL STREET,"POST OFFICE,350 CANAL STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
36,061,0010,81102,1,40.739546,-73.985694,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL-WEDDING-INLET - GRAVIMETRIC,1993,Micrograms/cubic meter (25 C),No Events,40,66,N,40,61,0,6,0,0,Certified,0,26.75,11.258615,60,1993-06-18 00:00,50,1993-05-25 00:00,46,1993-10-16 00:00,43,1993-09-10 00:00,,,,,60,60,50,43,36,24,15,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
23,901,0001,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1997,Parts per million,Events Included,2815,90,Y,165,183,0,0,17,17,Certification not required,0,0.050788,0.015696,0.115,1997-06-30 17:00,0.102,1997-07-01 11:00,0.096,1997-08-10 15:00,0.095,1997-06-21 13:00,,,,,0.102,0.095,0.08,0.071,0.058,0.048,0.034,MS SCOTIA PRINCE FERRY FROM PORTLAND ME TO YARMOUTH NOVA SCOTIA &RET,MS SCOTIA PRINCE COMMERCIAL ST PORTLAND,Maine,MOBILE MONITORS,,,2021-03-20
33,009,9991,44201,9,,,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1998,Parts per million,Events Included,6152,99,Y,181,183,0,0,3,3,Certification not required,0,0.040724,0.011457,0.076,1998-05-01 09:00,0.074,1998-04-15 10:00,0.071,1998-05-29 08:00,0.07,1998-03-28 12:00,,,,,0.074,0.07,0.062,0.055,0.05,0.044,0.037,Woodstock,"Hubbard Brook Experimental Forest, North Woodstock, NH 03262",New Hampshire,Grafton,,"Claremont-Lebanon, NH-VT",2021-03-20
06,061,0069,82306,1,130.75121,-253.99097,WGS84,Nitrate PM10 STP,24 HOUR,,Observed Values,HI-VOL-SA/GMW-321-B - REDUCTION-DIAZO COUPLING,1993,Micrograms/cubic meter (25 C),No Events,9,64,N,9,14,0,5,,,Certification not required,0,0.766667,0.812404,2.6,1993-03-02 00:00,1.4,1993-03-20 00:00,1.1,1993-02-18 00:00,0.5,1993-02-06 00:00,,,,,2.6,2.6,2.6,2.6,1.1,0.4,0.1,,"HOME SAVINGS BANK, 34TH ST. & 7TH AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
36,061,0056,42401,1,40.75912,-73.96661,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1993,Parts per billion,No Events,2623,90,Y,336,365,0,0,,0,Certified,0,17.756576,11.732352,77.6,1993-03-02 05:00,77.3,1993-11-10 08:00,75.3,1993-03-02 08:00,74.6,1993-11-23 08:00,,,,,57.6,49,41,33.6,23.6,15,5.6,PS 59,"PS 59, 228 E. 57TH STREET, MANHATTAN",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-10
17,031,0072,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,5156,96,Y,206,214,0,0,5,5,Certified,0,0.042932,0.016007,0.097,1997-06-29 12:00,0.095,1997-08-02 12:00,0.092,1997-07-12 11:00,0.091,1997-07-01 13:00,,,,,0.092,0.09,0.07,0.062,0.052,0.042,0.024,JARDINE WATER PLANT,1000 E. OHIO,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
17,119,9991,44201,9,,,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1997,Parts per million,Events Included,8689,100,Y,214,214,8689,71,0,0,Certification not required,0,0.060154,0.018122,0.116,1997-07-14 12:00,0.115,1997-07-21 14:00,0.115,1997-10-04 15:00,0.112,1997-07-18 16:00,,,,,0.115,0.112,0.096,0.083,0.07,0.059,0.044,Alhambra,"5403 State Road 160, Highland, IL 62249",Illinois,Madison,,"St. Louis, MO-IL",2021-03-20
23,003,9991,44201,9,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1997,Parts per million,Events Included,6024,95,Y,174,183,0,0,3,3,Certification not required,0,0.037908,0.01152,0.078,1997-07-02 12:00,0.072,1997-05-06 11:00,0.071,1997-08-10 16:00,0.068,1997-07-01 10:00,,,,,0.072,0.068,0.057,0.052,0.046,0.041,0.036,Ashland,"45 Radar Rd, Ashland, ME 04732",Maine,Aroostook,,,2021-03-20
17,031,0072,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1997,Parts per million,Events Included,3663,98,Y,210,214,0,0,11,11,Certified,0,0.042519,0.016433,0.097,1997-06-29 12:00,0.095,1997-08-02 12:00,0.092,1997-07-12 11:00,0.091,1997-07-01 13:00,,,,,0.092,0.09,0.071,0.063,0.052,0.041,0.023,JARDINE WATER PLANT,1000 E. OHIO,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",2021-03-20
26,161,9991,44201,9,,,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1997,Parts per million,Events Included,8572,97,Y,177,183,8572,188,0,0,Certification not required,0,0.05265,0.01514,0.094,1997-06-29 17:00,0.093,1997-07-13 13:00,0.091,1997-06-09 17:00,0.089,1997-06-28 16:00,,,,,0.093,0.089,0.08,0.075,0.065,0.053,0.04,Ann Arbor,"10070 Strawberry Lake Rd, Dexter, MI 48130",Michigan,Washtenaw,,"Ann Arbor, MI",2021-03-20
26,161,9991,44201,9,,,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,8592,95,Y,174,183,0,0,5,5,Certification not required,0,0.04723,0.01479,0.086,1997-06-29 10:00,0.085,1997-06-28 11:00,0.084,1997-07-13 10:00,0.079,1997-06-11 11:00,,,,,0.085,0.079,0.073,0.066,0.059,0.049,0.035,Ann Arbor,"10070 Strawberry Lake Rd, Dexter, MI 48130",Michigan,Washtenaw,,"Ann Arbor, MI",2021-03-20
42,001,9991,44201,9,,,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,1997,Parts per million,Events Included,8519,99,Y,212,214,8519,241,0,0,Certification not required,0,0.060146,0.017198,0.11,1997-07-15 15:00,0.109,1997-07-14 14:00,0.107,1997-07-13 17:00,0.101,1997-06-24 12:00,,,,,0.107,0.098,0.09,0.084,0.072,0.059,0.045,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,"Gettysburg, PA",2021-03-20
34,021,9991,44201,9,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1998,Parts per million,Events Included,8647,97,Y,207,214,0,0,24,24,Certification not required,0,0.055135,0.020199,0.101,1998-05-16 11:00,0.1,1998-08-22 11:00,0.097,1998-08-24 10:00,0.096,1998-06-25 15:00,,,,,0.097,0.095,0.092,0.085,0.07,0.054,0.039,Wash. Crossing,"Washington Crossing State Park, Titusville, NJ 08560",New Jersey,Mercer,,"Trenton, NJ",2021-03-20
01,015,0002,11101,1,123.68566,-265.83774,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,45,75,Y,45,60,0,0,,,Certification not required,0,39.088889,13.064216,73,1983-07-11 00:00,64,1983-08-10 00:00,60,1983-04-12 00:00,57,1983-01-06 00:00,,,,,73,73,60,57,48,38,23,,BLUE MTN POST OFFICE,Alabama,Calhoun,Anniston,"Anniston-Oxford-Jacksonville, AL",2020-05-21
01,051,0002,65318,1,122.58347,-265.93246,WGS84,Ammonium (precip),1 WEEK,,Observed Values,Precipitation - Nessler's reagent,1983,Milligrams/liter,No Events,28,46,N,27,61,0,0,,,Certification not required,0,0.246429,0.297498,1.3,1983-06-14 00:00,0.9,1983-08-29 00:00,0.7,1983-07-19 00:00,0.6,1983-05-24 00:00,,,,,1.3,1.3,0.9,0.7,0.3,0.2,0,MONITOR LOCATED ON GROUNDS OF NATIONAL GUARD ARMORY.,"164 MCNEAL ST., TALLASSEE, AL 36078",Alabama,Elmore,Tallassee,"Montgomery, AL",2020-05-21
01,055,0001,44201,1,123.99982,-266.10748,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1983,Parts per million,No Events,5073,76,Y,209,275,0,0,1,1,Certification not required,0,0.059167,0.022468,0.127,1983-08-22 10:00,0.115,1983-08-20 11:00,0.11,1983-08-21 10:00,0.11,1983-08-31 12:00,,,,,0.11,0.105,0.097,0.09,0.075,0.06,0.03,,ATTALLA COMMUNITY CENTER,Alabama,Etowah,Attalla,"Gadsden, AL",2020-05-21
01,035,0001,11101,1,121.47766,-266.96331,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,51,85,Y,51,60,0,0,,,Certification not required,0,41.078431,16.771217,86,1983-07-23 00:00,81,1983-01-31 00:00,79,1983-03-31 00:00,69,1983-07-11 00:00,,,,,86,81,79,62,52,37,23,,COUNTY HEALTH DEPT,Alabama,Conecuh,Evergreen,,2020-05-21
36,061,0010,42101,1,40.739546,-73.985694,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1993,Parts per million,No Events,3816,44,Y,163,365,0,480,0,0,Certification not required,0,0.94751,0.423063,5.5,1993-06-22 15:00,5.2,1993-01-22 11:00,4.5,1993-03-27 06:00,4.2,1993-04-15 10:00,,,,,2.4,2.1,1.7,1.4,1.1,0.9,0.5,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
36,061,0010,42401,2,40.739546,-73.985694,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1993,Parts per billion,No Events,3943,45,N,165,365,0,353,,,Certified,0,19.123003,13.453033,125,1993-04-08 07:00,121,1993-03-02 06:00,104,1993-03-02 07:00,103,1993-03-02 03:00,,,,,63,56,46,37,25,16,6,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-10
36,061,0056,42101,1,40.75912,-73.96661,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1993,Parts per million,No Events,7928,91,Y,341,365,0,0,0,0,Certification not required,0,1.240489,0.485535,3.9,1993-11-19 21:00,3.9,1993-11-19 22:00,3.7,1993-11-19 20:00,3.7,1993-11-19 23:00,3.9,1993-11-19 21:00,3.5,1993-03-27 03:00,2.8,2.5,2.1,1.9,1.5,1.2,0.7,PS 59,"PS 59, 228 E. 57TH STREET, MANHATTAN",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
