STATECODE,COUNTYCODE,SITENUM,PARAMETERCODE,POC,LATITUDE,LONGITUDE,DATUM,PARAMETERNAME,SAMPLEDURATION,POLLUTANTSTANDARD,METRICUSED,METHODNAME,YEAR,UNITSOFMEASURE,EVENTTYPE,OBSERVATIONCOUNT,OBSERVATIONPERCENT,COMPLETENESSINDICATOR,VALIDDAYCOUNT,REQUIREDDAYCOUNT,EXCEPTIONALDATACOUNT,NULLDATACOUNT,PRIMARYEXCEEDANCECOUNT,SECONDARYEXCEEDANCECOUNT,CERTIFICATIONINDICATOR,NUMOBSBELOWMDL,ARITHMETICMEAN,ARITHMETICSTANDARDDEV,1STMAXVALUE,1STMAXDATETIME,2NDMAXVALUE,2NDMAXDATETIME,3RDMAXVALUE,3RDMAXDATETIME,4THMAXVALUE,4THMAXDATETIME,1STMAXNONOVERLAPPINGVALUE,1STNOMAXDATETIME,2NDMAXNONOVERLAPPINGVALUE,2NDNOMAXDATETIME,99THPERCENTILE,98THPERCENTILE,95THPERCENTILE,90THPERCENTILE,75THPERCENTILE,50THPERCENTILE,10THPERCENTILE,LOCALSITENAME,ADDRESS,STATENAME,COUNTYNAME,CITYNAME,CBSANAME,DATEOFLASTCHANGE
01,055,1001,11101,1,124.01538,-266.01219,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1983,Micrograms/cubic meter (25 C),No Events,114,100,Y,60,60,0,0,,,Certification not required,0,42.929825,17.837377,110,1983-08-31 00:00,88,1983-08-19 00:00,84,1983-07-14 00:00,81,1983-09-30 00:00,,,,,88,84,78,68,51,40,24,,109 SOUTH 8TH STREET,Alabama,Etowah,Gadsden,"Gadsden, AL",2020-05-21
36,061,0010,42101,1,40.739546,-73.985694,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1993,Parts per million,No Events,3823,44,Y,165,365,0,0,0,0,Certification not required,0,0.951844,0.33475,3.5,1993-03-27 09:00,3.5,1993-03-27 10:00,3.4,1993-03-27 08:00,3.2,1993-03-27 07:00,3.5,1993-03-27 09:00,2.5,1993-03-03 02:00,2.1,1.9,1.6,1.4,1.1,0.9,0.6,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
36,061,0081,42101,1,40.76138,-73.9675,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1993,Parts per million,No Events,4249,49,Y,178,365,0,0,0,0,Certified,0,2.923935,1.072384,6.8,1993-10-21 17:00,6.7,1993-09-27 00:00,6.7,1993-10-21 18:00,6.6,1993-09-26 23:00,6.8,1993-10-21 17:00,6.7,1993-09-27 00:00,5.8,5.4,4.8,4.4,3.6,2.9,1.6,BLOOMINGDALES DEPT STORE,BLOOMINGDALES - 1000 THIRD AVE (59TH ST),New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
06,061,0010,44201,1,130.73955,-253.98569,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1993,Parts per million,No Events,1769,33,N,70,214,0,0,0,0,Certified,0,0.025371,0.009989,0.062,1993-05-09 11:00,0.042,1993-05-02 10:00,0.042,1993-06-17 13:00,0.041,1993-05-16 10:00,,,,,0.062,0.042,0.041,0.039,0.031,0.025,0.015,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
06,061,0056,42601,1,130.75912,-253.96661,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1993,Parts per billion,No Events,7602,87,Y,319,365,0,1062,,,Certification not required,0,60.309918,51.359474,442,1993-11-11 06:00,413,1993-03-29 13:00,398,1993-03-03 00:00,397,1993-11-11 07:00,,,,,235,201,158,129,83,48,9,PS 59,"PS 59, 228 E. 57TH STREET, MANHATTAN",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
06,061,0063,44201,2,130.71149,-254.01264,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1993,Parts per million,No Events,8464,100,Y,213,214,0,296,5,5,Certification not required,0,0.05954,0.025545,0.131,1993-08-14 20:00,0.127,1993-08-27 19:00,0.125,1993-07-07 13:00,0.125,1993-07-08 14:00,,,,,0.125,0.125,0.111,0.095,0.075,0.055,0.039,,"ROOF,TWO WORLD TRADE CENTER",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
23,901,0001,44201,1,,,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1997,Parts per million,Events Included,3967,91,Y,166,183,0,0,7,7,Certification not required,0,0.051922,0.015618,0.115,1997-06-30 17:00,0.102,1997-07-01 11:00,0.096,1997-08-10 15:00,0.095,1997-06-21 13:00,,,,,0.102,0.095,0.08,0.072,0.06,0.049,0.035,MS SCOTIA PRINCE FERRY FROM PORTLAND ME TO YARMOUTH NOVA SCOTIA &RET,MS SCOTIA PRINCE COMMERCIAL ST PORTLAND,Maine,MOBILE MONITORS,,,2021-03-20
01,051,0002,65303,1,122.58347,-265.93246,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - CONDUCTIVITY CELL,1983,Microsiemens/centimeter,No Events,28,53,N,28,53,0,0,,,Certification not required,0,23.179286,33.943952,189.3,1983-07-19 00:00,42.9,1983-08-29 00:00,33.4,1983-11-08 00:00,29.6,1983-08-16 00:00,,,,,189.3,189.3,42.9,33.4,25.3,15.9,4.8,MONITOR LOCATED ON GROUNDS OF NATIONAL GUARD ARMORY.,"164 MCNEAL ST., TALLASSEE, AL 36078",Alabama,Elmore,Tallassee,"Montgomery, AL",2020-05-21
36,061,0062,42101,1,40.720622,-74.003674,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1993,Parts per million,No Events,8285,95,Y,352,365,0,0,0,0,Certified,0,2.571925,0.951186,6.7,1993-03-20 19:00,6.7,1993-03-20 20:00,6.6,1993-03-20 21:00,6.4,1993-03-20 18:00,6.7,1993-03-20 19:00,6.3,1993-01-24 19:00,5.2,4.8,4.2,3.8,3.2,2.5,1.4,CANAL STREET,"POST OFFICE,350 CANAL STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-09
06,061,0010,44201,1,130.73955,-253.98569,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1993,Parts per million,No Events,2484,35,N,74,214,0,804,0,0,Certified,0,0.033973,0.012549,0.077,1993-05-09 15:00,0.069,1993-06-19 14:00,0.063,1993-06-18 12:00,0.057,1993-06-17 16:00,,,,,0.077,0.069,0.057,0.051,0.04,0.033,0.021,,"MABEL DEAN HIGH SCH.ANNEX, 240 2ND AVE.",California,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2020-05-21
